Date,Home Team,Goals,Away Team,Goals
10th September 2015,Lichfield City Saints,5,Darwin Park,1
13th September 2015,Starlands St. Annes Mets,3,Brereton Town,2
16th September 2015,Red Star Rangers,6,Starlands St. Annes,1
20th September 2015,Red Star Rangers,1,Darwin Park,4
21st September 2015,Chasetown Colts,4,Starlands St. Annes,1
27th September 2015,Starlands St. Annes,0,Lichfield City Saints,5
4th October 2015,Starlands St. Annes Mets,5,Red Star Rangers,2
4th October 2015,Four Oaks Saints Falcons,2,Brereton Town,1
4th October 2015,Darwin Park,12,Starlands St. Annes,0
11th October 2015,Chasetown Colts,5,Red Star Rangers,1
11th October 2015,Darwin Park,5,Four Oaks Saints Falcons,1
11th October 2015,Lichfield City Saints,3,Starlands St. Annes Mets,1
17th October 2015,Brereton Town,0,Red Star Rangers,5
18th October 2015,Chasetown Colts,3,Brereton Town,2
18th October 2015,Starlands St. Annes,5,Starlands St. Annes Mets,3
1st November 2015,Four Oaks Saints Falcons,1,Starlands St. Annes,5
8th November 2015,Brereton Town,1,Starlands St. Annes,8
8th November 2015,Darwin Park,2,Chasetown Colts,5
15th November 2015,Lichfield City Saints,3,Brereton Town,0
15th November 2015,Four Oaks Saints Falcons,3,Chasetown Colts,3
21st November 2015,Chasetown Colts,6,Lichfield City Saints,4
22nd November 2015,Chasetown Colts,5,Starlands St. Annes Mets,0
22nd November 2015,Lichfield City Saints,1,Four Oaks Saints Falcons,3
29th November 2015,Lichfield City Saints,3,Starlands St. Annes,5
29th November 2015,Four Oaks Saints Falcons,2,Red Star Rangers,3
29th November 2015,Darwin Park,4,Starlands St. Annes Mets,1
6th December 2015,Red Star Rangers,3,Lichfield City Saints,2
13th December 2015,Brereton Town,1,Darwin Park,6
20th December 2015,Brereton Town,1,Chasetown Colts,1
10th January 2016,Lichfield City Saints,1,Chasetown Colts,1
24th January 2016,Starlands St. Annes Mets,5,Lichfield City Saints,4
24th January 2016,Darwin Park,3,Brereton Town,1
31st January 2016,Brereton Town,7,Starlands St. Annes Mets,2
31st January 2016,Four Oaks Saints Falcons,3,Darwin Park,2
31st January 2016,Lichfield City Saints,1,Red Star Rangers,3
7th February 2016,Chasetown Colts,12,Four Oaks Saints Falcons,2
7th February 2016,Darwin Park,6,Lichfield City Saints,0
21st February 2016,Starlands St. Annes,1,Brereton Town,2
21st February 2016,Four Oaks Saints Falcons,2,Lichfield City Saints,3
28th February 2016,Brereton Town,- ,Lichfield City Saints,- 
28th February 2016,Chasetown Colts,- ,Darwin Park,- 
28th February 2016,Starlands St. Annes,- ,Red Star Rangers,- 
28th February 2016,Starlands St. Annes Mets,- ,Four Oaks Saints Falcons,- 
6th March 2016,Starlands St. Annes Mets,- ,Chasetown Colts,- 
6th March 2016,Starlands St. Annes,- ,Darwin Park,- 
6th March 2016,Red Star Rangers,- ,Four Oaks Saints Falcons,- 
13th March 2016,Brereton Town,- ,Four Oaks Saints Falcons,- 
13th March 2016,Red Star Rangers,- ,Starlands St. Annes Mets,- 
13th March 2016,Starlands St. Annes,- ,Chasetown Colts,- 
